Fecha,Billetes
2013-01-12,62614
2013-01-19,59301
2013-01-26,56391
2013-02-02,62981
2013-02-09,65258
2013-02-16,71684
2013-02-23,76787
2013-03-02,70549
2013-03-09,88065
2013-03-16,92500
2013-03-23,98660
2013-03-30,99204
2013-04-06,117700
2013-04-13,131124
2013-04-20,138477
2013-04-27,147454
2013-05-04,157344
2013-05-11,202652
2013-05-18,222793
2013-05-25,225466
2013-06-01,236296
2013-06-08,230526
2013-06-15,224961
2013-06-22,240615
2013-06-29,259729
2013-07-06,248757
2013-07-13,271084
2013-07-20,258130
2013-07-27,265014
2013-08-03,273926
2013-08-10,287677
2013-08-17,276763
2013-08-24,281506
2013-08-31,289413
2013-09-07,267403
2013-09-14,273466
2013-09-21,273484
2013-09-28,259051
2013-10-05,242725
2013-10-12,245172
2013-10-19,202756
2013-10-26,174005
2013-11-02,125032
2013-11-09,78689
2013-11-16,69961
2013-11-23,63448
2013-11-30,60537
2013-12-07,55106
2013-12-14,62271
2013-12-21,59308
2013-12-28,42257
2014-01-04,47993
2014-01-11,54882
2014-01-18,60201
2014-01-25,57448
2014-02-01,61499
2014-02-08,64560
2014-02-15,70588
2014-02-22,76809
2014-03-01,79504
2014-03-08,90222
2014-03-15,98159
2014-03-22,99922
2014-03-29,103914
2014-04-05,108807
2014-04-12,134526
2014-04-19,129184
2014-04-26,140623
2014-05-03,159161
2014-05-10,193249
2014-05-17,208725
2014-05-24,213292
2014-05-31,222788
2014-06-07,229308
2014-06-14,221780
2014-06-21,249295
2014-06-28,250495
2014-07-05,255683
2014-07-12,263015
2014-07-19,268376
2014-07-26,282709
2014-08-02,296040
2014-08-09,300346
2014-08-16,312023
2014-08-23,290349
2014-08-30,272405
2014-09-06,269862
2014-09-13,260132
2014-09-20,257193
2014-09-27,252843
2014-10-04,239545
2014-10-11,224035
2014-10-18,204241
2014-10-25,175575
2014-11-01,133480
2014-11-08,79429
2014-11-15,73604
2014-11-22,70322
2014-11-29,66151
2014-12-06,60151
2014-12-13,56874
2014-12-20,61859
2014-12-27,44014
2015-01-03,48106
2015-01-10,53803
2015-01-17,62455
2015-01-24,56642
2015-01-31,60975
2015-02-07,56855
2015-02-14,69546
2015-02-21,75069
2015-02-28,80057
2015-03-07,184576
2015-03-14,186441
2015-03-21,187832
2015-03-28,190145
2015-04-04,177052
2015-04-11,202431
2015-04-18,234182
2015-04-25,243054
2015-05-02,238179
2015-05-09,267644
2015-05-16,296609
2015-05-23,311590
2015-05-30,309546
2015-06-06,307928
2015-06-13,325654
2015-06-20,326718
2015-06-27,326004
2015-07-04,313369
2015-07-11,329145
2015-07-18,343404
2015-07-25,352532
2015-08-01,363894
2015-08-08,343444
2015-08-15,365549
2015-08-22,353716
2015-08-29,344662
2015-09-05,351622
2015-09-12,363295
2015-09-19,351386
2015-09-26,333649
2015-10-03,342580
2015-10-10,338425
2015-10-17,297512
2015-10-24,304178
2015-10-31,250712
2015-11-07,160914
2015-11-14,175384
2015-11-21,173559
2015-11-28,157976
2015-12-05,160592
2015-12-12,128209
2015-12-19,157268
2015-12-26,116177
2016-01-02,111607
2016-01-09,122897
2016-01-16,150307
2016-01-23,142233
2016-01-30,149547
2016-02-06,159407
2016-02-13,166629
2016-02-20,167476
2016-02-27,167609
2016-03-05,152285
2016-03-12,183221
2016-03-19,196035
2016-03-26,183252
2016-04-02,191049
2016-04-09,241397
2016-04-16,245417
2016-04-23,254965
2016-04-30,264898
2016-05-07,292995
2016-05-14,334344
2016-05-21,335525
2016-05-28,338549
2016-06-04,322263
2016-06-11,334845
2016-06-18,347214
2016-06-25,324180
2016-07-02,343497
2016-07-09,361467
2016-07-16,381768
2016-07-23,367503
2016-07-30,373954
2016-08-06,383663
2016-08-13,388183
2016-08-20,360621
2016-08-27,365480
2016-09-03,354296
2016-09-10,367264
2016-09-17,357850
2016-09-24,350078
2016-10-01,365445
2016-10-08,349203
2016-10-15,343670
2016-10-22,340002
2016-10-29,279404
2016-11-05,183583
2016-11-12,184902
2016-11-19,178948
2016-11-26,169766
2016-12-03,163841
2016-12-10,127511
2016-12-17,162260
2016-12-24,135565
2016-12-31,113289
